date,subregion2_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,population
01/01/2020,Rotterdam,,,,,,,650000
02/01/2020,Rotterdam,,,,,,,650000
03/01/2020,Rotterdam,,,,,,,650000
04/01/2020,Rotterdam,,,,,,,650000
05/01/2020,Rotterdam,,,,,,,650000
06/01/2020,Rotterdam,,,,,,,650000
07/01/2020,Rotterdam,,,,,,,650000
08/01/2020,Rotterdam,,,,,,,650000
09/01/2020,Rotterdam,,,,,,,650000
10/01/2020,Rotterdam,,,,,,,650000
11/01/2020,Rotterdam,,,,,,,650000
12/01/2020,Rotterdam,,,,,,,650000
13/01/2020,Rotterdam,,,,,,,650000
14/01/2020,Rotterdam,,,,,,,650000
15/01/2020,Rotterdam,,,,,,,650000
16/01/2020,Rotterdam,,,,,,,650000
17/01/2020,Rotterdam,,,,,,,650000
18/01/2020,Rotterdam,,,,,,,650000
19/01/2020,Rotterdam,,,,,,,650000
20/01/2020,Rotterdam,,,,,,,650000
21/01/2020,Rotterdam,,,,,,,650000
22/01/2020,Rotterdam,,,,,,,650000
23/01/2020,Rotterdam,,,,,,,650000
24/01/2020,Rotterdam,,,,,,,650000
25/01/2020,Rotterdam,,,,,,,650000
26/01/2020,Rotterdam,,,,,,,650000
27/01/2020,Rotterdam,,,,,,,650000
28/01/2020,Rotterdam,,,,,,,650000
29/01/2020,Rotterdam,,,,,,,650000
30/01/2020,Rotterdam,,,,,,,650000
31/01/2020,Rotterdam,,,,,,,650000
01/02/2020,Rotterdam,,,,,,,650000
02/02/2020,Rotterdam,,,,,,,650000
03/02/2020,Rotterdam,,,,,,,650000
04/02/2020,Rotterdam,,,,,,,650000
05/02/2020,Rotterdam,,,,,,,650000
06/02/2020,Rotterdam,,,,,,,650000
07/02/2020,Rotterdam,,,,,,,650000
08/02/2020,Rotterdam,,,,,,,650000
09/02/2020,Rotterdam,,,,,,,650000
10/02/2020,Rotterdam,,,,,,,650000
11/02/2020,Rotterdam,,,,,,,650000
12/02/2020,Rotterdam,,,,,,,650000
13/02/2020,Rotterdam,,,,,,,650000
14/02/2020,Rotterdam,,,,,,,650000
15/02/2020,Rotterdam,,,,,,,650000
16/02/2020,Rotterdam,,,,,,,650000
17/02/2020,Rotterdam,,,,,,,650000
18/02/2020,Rotterdam,,,,,,,650000
19/02/2020,Rotterdam,,,,,,,650000
20/02/2020,Rotterdam,,,,,,,650000
21/02/2020,Rotterdam,,,,,,,650000
22/02/2020,Rotterdam,,,,,,,650000
23/02/2020,Rotterdam,,,,,,,650000
24/02/2020,Rotterdam,,,,,,,650000
25/02/2020,Rotterdam,,,,,,,650000
26/02/2020,Rotterdam,,,,,,,650000
27/02/2020,Rotterdam,,,,,,,650000
28/02/2020,Rotterdam,,,,,,,650000
29/02/2020,Rotterdam,,,,,,,650000
01/03/2020,Rotterdam,,,,,,,650000
02/03/2020,Rotterdam,,,,,,,650000
03/03/2020,Rotterdam,,,,,,,650000
04/03/2020,Rotterdam,,,,,,,650000
05/03/2020,Rotterdam,,,,,,,650000
06/03/2020,Rotterdam,,,,,,,650000
07/03/2020,Rotterdam,,,,,,,650000
08/03/2020,Rotterdam,,,,,,,650000
09/03/2020,Rotterdam,,,,,,,650000
10/03/2020,Rotterdam,,,,,,,650000
11/03/2020,Rotterdam,,,,,,,650000
12/03/2020,Rotterdam,,,,,,,650000
13/03/2020,Rotterdam,,,20,0,,1,650000
14/03/2020,Rotterdam,4,0,24,0,0,1,650000
15/03/2020,Rotterdam,1,0,25,0,0,1,650000
16/03/2020,Rotterdam,5,0,30,0,1,2,650000
17/03/2020,Rotterdam,11,0,41,0,0,2,650000
18/03/2020,Rotterdam,17,0,58,0,3,5,650000
19/03/2020,Rotterdam,23,0,81,0,1,6,650000
20/03/2020,Rotterdam,33,0,114,0,5,11,650000
21/03/2020,Rotterdam,7,1,121,1,7,18,650000
22/03/2020,Rotterdam,19,0,140,1,3,21,650000
23/03/2020,Rotterdam,10,0,150,1,11,32,650000
24/03/2020,Rotterdam,15,0,165,1,5,37,650000
25/03/2020,Rotterdam,23,1,188,2,11,48,650000
26/03/2020,Rotterdam,18,1,206,3,8,56,650000
27/03/2020,Rotterdam,45,1,251,4,9,65,650000
28/03/2020,Rotterdam,59,1,310,5,16,81,650000
29/03/2020,Rotterdam,34,1,344,6,15,96,650000
30/03/2020,Rotterdam,34,0,378,6,11,107,650000
31/03/2020,Rotterdam,27,0,405,6,14,121,650000
01/04/2020,Rotterdam,53,1,458,7,12,133,650000
02/04/2020,Rotterdam,48,1,506,8,19,152,650000
03/04/2020,Rotterdam,48,5,554,13,8,160,650000
04/04/2020,Rotterdam,30,2,584,15,13,173,650000
05/04/2020,Rotterdam,90,0,674,15,9,182,650000
06/04/2020,Rotterdam,83,4,757,19,17,199,650000
07/04/2020,Rotterdam,35,5,792,24,12,211,650000
08/04/2020,Rotterdam,71,4,863,28,19,230,650000
09/04/2020,Rotterdam,84,3,947,31,9,239,650000
10/04/2020,Rotterdam,38,5,985,36,16,255,650000
11/04/2020,Rotterdam,135,13,1120,49,6,261,650000
12/04/2020,Rotterdam,60,6,1180,55,14,275,650000
13/04/2020,Rotterdam,50,6,1230,61,7,282,650000
14/04/2020,Rotterdam,51,2,1281,63,16,298,650000
15/04/2020,Rotterdam,42,11,1323,74,13,311,650000
16/04/2020,Rotterdam,51,19,1374,93,8,319,650000
17/04/2020,Rotterdam,46,10,1420,103,9,328,650000
18/04/2020,Rotterdam,82,14,1502,117,6,334,650000
19/04/2020,Rotterdam,55,2,1557,119,13,347,650000
20/04/2020,Rotterdam,29,2,1586,121,6,353,650000
21/04/2020,Rotterdam,34,10,1620,131,8,361,650000
22/04/2020,Rotterdam,31,12,1651,143,7,368,650000
23/04/2020,Rotterdam,50,14,1701,157,7,375,650000
24/04/2020,Rotterdam,45,11,1746,168,5,380,650000
25/04/2020,Rotterdam,42,5,1788,173,5,385,650000
26/04/2020,Rotterdam,35,3,1823,176,7,392,650000
27/04/2020,Rotterdam,34,7,1857,183,9,401,650000
28/04/2020,Rotterdam,3,2,1860,185,3,404,650000
29/04/2020,Rotterdam,30,19,1890,204,4,408,650000
30/04/2020,Rotterdam,36,10,1926,214,10,418,650000
01/05/2020,Rotterdam,41,6,1967,220,9,427,650000
