date,subregion1_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,population
01/01/2020,Stockholm,,,,,,,2344124
02/01/2020,Stockholm,,,,,,,2344124
03/01/2020,Stockholm,,,,,,,2344124
04/01/2020,Stockholm,,,,,,,2344124
05/01/2020,Stockholm,,,,,,,2344124
06/01/2020,Stockholm,,,,,,,2344124
07/01/2020,Stockholm,,,,,,,2344124
08/01/2020,Stockholm,,,,,,,2344124
09/01/2020,Stockholm,,,,,,,2344124
10/01/2020,Stockholm,,,,,,,2344124
11/01/2020,Stockholm,,,,,,,2344124
12/01/2020,Stockholm,,,,,,,2344124
13/01/2020,Stockholm,,,,,,,2344124
14/01/2020,Stockholm,,,,,,,2344124
15/01/2020,Stockholm,,,,,,,2344124
16/01/2020,Stockholm,,,,,,,2344124
17/01/2020,Stockholm,,,,,,,2344124
18/01/2020,Stockholm,,,,,,,2344124
19/01/2020,Stockholm,,,,,,,2344124
20/01/2020,Stockholm,,,,,,,2344124
21/01/2020,Stockholm,,,,,,,2344124
22/01/2020,Stockholm,,,,,,,2344124
23/01/2020,Stockholm,,,,,,,2344124
24/01/2020,Stockholm,,,,,,,2344124
25/01/2020,Stockholm,,,,,,,2344124
26/01/2020,Stockholm,,,,,,,2344124
27/01/2020,Stockholm,,,,,,,2344124
28/01/2020,Stockholm,,,,,,,2344124
29/01/2020,Stockholm,,,,,,,2344124
30/01/2020,Stockholm,,,,,,,2344124
31/01/2020,Stockholm,,,,,,,2344124
01/02/2020,Stockholm,,,,,,,2344124
02/02/2020,Stockholm,,,,,,,2344124
03/02/2020,Stockholm,,,,,,,2344124
04/02/2020,Stockholm,0,,0,,,,2344124
05/02/2020,Stockholm,0,,0,,,,2344124
06/02/2020,Stockholm,0,,0,,,,2344124
07/02/2020,Stockholm,0,,0,,,,2344124
08/02/2020,Stockholm,0,,0,,,,2344124
09/02/2020,Stockholm,0,,0,,,,2344124
10/02/2020,Stockholm,0,,0,,,,2344124
11/02/2020,Stockholm,0,,0,,,,2344124
12/02/2020,Stockholm,0,,0,,,,2344124
13/02/2020,Stockholm,0,,0,,,,2344124
14/02/2020,Stockholm,0,,0,,,,2344124
