date,cumulative_confirmed,cumulative_deceased
01/01/2020,0.0,0.0
02/01/2020,0.0,0.0
03/01/2020,0.0,0.0
04/01/2020,0.0,0.0
05/01/2020,0.0,0.0
06/01/2020,0.0,0.0
07/01/2020,0.0,0.0
08/01/2020,0.0,0.0
09/01/2020,0.0,0.0
10/01/2020,0.0,0.0
11/01/2020,0.0,0.0
12/01/2020,0.0,0.0
13/01/2020,0.0,0.0
14/01/2020,0.0,0.0
15/01/2020,0.0,0.0
16/01/2020,0.0,0.0
17/01/2020,0.0,0.0
18/01/2020,0.0,0.0
19/01/2020,0.0,0.0
20/01/2020,0.0,0.0
21/01/2020,0.0,0.0
22/01/2020,0.0,0.0
23/01/2020,0.0,0.0
24/01/2020,0.0,0.0
25/01/2020,0.0,0.0
26/01/2020,0.0,0.0
27/01/2020,0.0,0.0
28/01/2020,0.0,0.0
29/01/2020,0.0,0.0
30/01/2020,0.0,0.0
31/01/2020,0.0,0.0
01/02/2020,0.0,0.0
02/02/2020,0.0,0.0
03/02/2020,0.0,0.0
04/02/2020,0.0,0.0
05/02/2020,0.0,0.0
06/02/2020,0.0,0.0
07/02/2020,0.0,0.0
08/02/2020,0.0,0.0
09/02/2020,0.0,0.0
10/02/2020,0.0,0.0
11/02/2020,0.0,0.0
12/02/2020,0.0,0.0
13/02/2020,0.0,0.0
14/02/2020,0.0,0.0
15/02/2020,0.0,0.0
16/02/2020,0.0,0.0
17/02/2020,0.0,0.0
18/02/2020,0.0,0.0
19/02/2020,0.0,0.0
20/02/2020,0.0,0.0
21/02/2020,0.0,0.0
22/02/2020,0.0,0.0
23/02/2020,0.0,0.0
24/02/2020,0.0,0.0
25/02/2020,0.0,0.0
26/02/2020,0.0,0.0
27/02/2020,0.0,0.0
28/02/2020,0.0,0.0
29/02/2020,0.0,0.0
01/03/2020,0.0,0.0
02/03/2020,0.0,0.0
03/03/2020,0.0,0.0
04/03/2020,0.0,0.0
05/03/2020,0.0,0.0
06/03/2020,0.0,0.0
07/03/2020,0.0,0.0
08/03/2020,0.0,0.0
09/03/2020,0.0,0.0
10/03/2020,0.0,0.0
11/03/2020,0.0,0.0
12/03/2020,0.0,0.0
13/03/2020,20.0,0.0
14/03/2020,24.0,0.0
15/03/2020,25.0,0.0
16/03/2020,30.0,0.0
17/03/2020,41.0,0.0
18/03/2020,58.0,0.0
19/03/2020,81.0,0.0
20/03/2020,114.0,0.0
21/03/2020,121.0,1.0
22/03/2020,140.0,1.0
23/03/2020,150.0,1.0
24/03/2020,165.0,1.0
25/03/2020,188.0,2.0
26/03/2020,206.0,3.0
27/03/2020,251.0,4.0
28/03/2020,310.0,5.0
29/03/2020,344.0,6.0
30/03/2020,378.0,6.0
31/03/2020,405.0,6.0
01/04/2020,458.0,7.0
02/04/2020,506.0,8.0
03/04/2020,554.0,13.0
04/04/2020,584.0,15.0
05/04/2020,674.0,15.0
06/04/2020,757.0,19.0
07/04/2020,792.0,24.0
08/04/2020,863.0,28.0
09/04/2020,947.0,31.0
10/04/2020,985.0,36.0
11/04/2020,1120.0,49.0
12/04/2020,1180.0,55.0
13/04/2020,1230.0,61.0
14/04/2020,1281.0,63.0
15/04/2020,1323.0,74.0
16/04/2020,1374.0,93.0
17/04/2020,1420.0,103.0
18/04/2020,1502.0,117.0
19/04/2020,1557.0,119.0
20/04/2020,1586.0,121.0
21/04/2020,1620.0,131.0
22/04/2020,1651.0,143.0
23/04/2020,1701.0,157.0
24/04/2020,1746.0,168.0
25/04/2020,1788.0,173.0
26/04/2020,1823.0,176.0
27/04/2020,1857.0,183.0
28/04/2020,1860.0,185.0
29/04/2020,1890.0,204.0
30/04/2020,1926.0,214.0
01/05/2020,1967.0,220.0
02/05/2020,1999.0,228.0
03/05/2020,2025.0,232.0
04/05/2020,2025.0,235.0
05/05/2020,2056.0,241.0
06/05/2020,2061.0,242.0
07/05/2020,2095.0,254.0
08/05/2020,2104.0,274.0
09/05/2020,2122.0,278.0
10/05/2020,2135.0,279.0
11/05/2020,2139.0,279.0
12/05/2020,2161.0,290.0
13/05/2020,2178.0,293.0
14/05/2020,2194.0,295.0
15/05/2020,2205.0,299.0
16/05/2020,2229.0,307.0
17/05/2020,2236.0,307.0
18/05/2020,2258.0,307.0
19/05/2020,2264.0,309.0
20/05/2020,2273.0,315.0
21/05/2020,2299.0,323.0
22/05/2020,2312.0,323.0
23/05/2020,2317.0,327.0
24/05/2020,2327.0,327.0
25/05/2020,2341.0,327.0
26/05/2020,2346.0,327.0
27/05/2020,2357.0,331.0
28/05/2020,2363.0,332.0
29/05/2020,2366.0,334.0
30/05/2020,2372.0,335.0
31/05/2020,2373.0,335.0
01/06/2020,2376.0,335.0
02/06/2020,2378.0,335.0
03/06/2020,2384.0,336.0
04/06/2020,2395.0,336.0
05/06/2020,2416.0,336.0
06/06/2020,2434.0,338.0
07/06/2020,2454.0,338.0
08/06/2020,2465.0,338.0
09/06/2020,2479.0,338.0
10/06/2020,2493.0,340.0
11/06/2020,2505.0,340.0
12/06/2020,2532.0,340.0
13/06/2020,2550.0,341.0
14/06/2020,2559.0,341.0
15/06/2020,2568.0,341.0
16/06/2020,2585.0,343.0
17/06/2020,2594.0,343.0
18/06/2020,2602.0,344.0
19/06/2020,2610.0,344.0
20/06/2020,2622.0,345.0
21/06/2020,2628.0,345.0
22/06/2020,2629.0,345.0
23/06/2020,2632.0,345.0
24/06/2020,2639.0,346.0
25/06/2020,2646.0,346.0
26/06/2020,2654.0,346.0
27/06/2020,2660.0,346.0
28/06/2020,2673.0,346.0
29/06/2020,2681.0,346.0
30/06/2020,2686.0,346.0
01/07/2020,2694.0,346.0
02/07/2020,2702.0,346.0
03/07/2020,2706.0,346.0
04/07/2020,2713.0,346.0
05/07/2020,2720.0,346.0
06/07/2020,2732.0,346.0
07/07/2020,2732.0,346.0
08/07/2020,2736.0,346.0
09/07/2020,2746.0,346.0
10/07/2020,2753.0,346.0
11/07/2020,2767.0,346.0
12/07/2020,2797.0,346.0
13/07/2020,2804.0,346.0
14/07/2020,2835.0,346.0
15/07/2020,2855.0,346.0
16/07/2020,2870.0,346.0
17/07/2020,2885.0,347.0
18/07/2020,2895.0,347.0
19/07/2020,2917.0,347.0
20/07/2020,2950.0,347.0
21/07/2020,2973.0,347.0
22/07/2020,3001.0,347.0
23/07/2020,3036.0,347.0
24/07/2020,3085.0,347.0
25/07/2020,3108.0,347.0
26/07/2020,3157.0,347.0
27/07/2020,3196.0,347.0
28/07/2020,3244.0,347.0
29/07/2020,3287.0,348.0
30/07/2020,3363.0,348.0
31/07/2020,3427.0,348.0
01/08/2020,3522.0,348.0
02/08/2020,3599.0,348.0
03/08/2020,3692.0,348.0
04/08/2020,3785.0,348.0
05/08/2020,3874.0,348.0
06/08/2020,3963.0,348.0
07/08/2020,4046.0,348.0
08/08/2020,4099.0,348.0
09/08/2020,4206.0,348.0
10/08/2020,4311.0,348.0
11/08/2020,4426.0,348.0
12/08/2020,4553.0,349.0
13/08/2020,4630.0,349.0
14/08/2020,4704.0,350.0
15/08/2020,4814.0,350.0
16/08/2020,4872.0,350.0
17/08/2020,4917.0,350.0
18/08/2020,4975.0,350.0
19/08/2020,5036.0,350.0
20/08/2020,5106.0,354.0
21/08/2020,5157.0,354.0
22/08/2020,5217.0,355.0
23/08/2020,5268.0,355.0
24/08/2020,5324.0,355.0
25/08/2020,5358.0,355.0
26/08/2020,5423.0,356.0
27/08/2020,5483.0,356.0
28/08/2020,5539.0,355.0
29/08/2020,5587.0,355.0
30/08/2020,5637.0,355.0
31/08/2020,5668.0,355.0
01/09/2020,5732.0,355.0
02/09/2020,5840.0,356.0
03/09/2020,5913.0,356.0
04/09/2020,5970.0,356.0
05/09/2020,6013.0,357.0
06/09/2020,6091.0,357.0
07/09/2020,6168.0,357.0
08/09/2020,6243.0,357.0
09/09/2020,6328.0,357.0
10/09/2020,6434.0,357.0
11/09/2020,6555.0,357.0
12/09/2020,6643.0,357.0
13/09/2020,6751.0,357.0
14/09/2020,6841.0,357.0
15/09/2020,6944.0,357.0
16/09/2020,7107.0,357.0
17/09/2020,7268.0,358.0
18/09/2020,7455.0,359.0
19/09/2020,7568.0,359.0
20/09/2020,7679.0,359.0
21/09/2020,7898.0,359.0
22/09/2020,8029.0,359.0
23/09/2020,8185.0,359.0
24/09/2020,8433.0,359.0
25/09/2020,8607.0,359.0
26/09/2020,8771.0,360.0
27/09/2020,9053.0,361.0
28/09/2020,9325.0,364.0
29/09/2020,9569.0,364.0
30/09/2020,9828.0,365.0
01/10/2020,10105.0,365.0
02/10/2020,10407.0,365.0
03/10/2020,10692.0,368.0
04/10/2020,10961.0,368.0
05/10/2020,11362.0,369.0
06/10/2020,11632.0,369.0
07/10/2020,11961.0,373.0
08/10/2020,12385.0,374.0
09/10/2020,12832.0,376.0
10/10/2020,13223.0,376.0
11/10/2020,13599.0,377.0
12/10/2020,14038.0,379.0
13/10/2020,14471.0,380.0
14/10/2020,15031.0,382.0
15/10/2020,15500.0,383.0
16/10/2020,15833.0,384.0
17/10/2020,16240.0,385.0
18/10/2020,16856.0,387.0
19/10/2020,17402.0,387.0
20/10/2020,17896.0,395.0
21/10/2020,18371.0,403.0
22/10/2020,19050.0,407.0
23/10/2020,19612.0,410.0
24/10/2020,20083.0,417.0
25/10/2020,20711.0,419.0
26/10/2020,21365.0,420.0
27/10/2020,21964.0,427.0
28/10/2020,22520.0,431.0
29/10/2020,23096.0,432.0
30/10/2020,23765.0,437.0
31/10/2020,24409.0,437.0
01/11/2020,25028.0,439.0
02/11/2020,25538.0,440.0
03/11/2020,26133.0,454.0
04/11/2020,26547.0,465.0
05/11/2020,27062.0,470.0
06/11/2020,27597.0,478.0
07/11/2020,28019.0,483.0
08/11/2020,28393.0,483.0
09/11/2020,28737.0,486.0
10/11/2020,28936.0,489.0
11/11/2020,29222.0,491.0
12/11/2020,29551.0,495.0
13/11/2020,29886.0,497.0
14/11/2020,30217.0,506.0
15/11/2020,30523.0,514.0
16/11/2020,30823.0,519.0
17/11/2020,31029.0,522.0
18/11/2020,31267.0,527.0
19/11/2020,31474.0,533.0
