date,cumulative_confirmed,cumulative_deceased
01/01/2020,0.0,0.0
02/01/2020,0.0,0.0
03/01/2020,0.0,0.0
04/01/2020,0.0,0.0
05/01/2020,0.0,0.0
06/01/2020,0.0,0.0
07/01/2020,0.0,0.0
08/01/2020,0.0,0.0
09/01/2020,0.0,0.0
10/01/2020,0.0,0.0
11/01/2020,0.0,0.0
12/01/2020,0.0,0.0
13/01/2020,0.0,0.0
14/01/2020,0.0,0.0
15/01/2020,0.0,0.0
16/01/2020,0.0,0.0
17/01/2020,0.0,0.0
18/01/2020,0.0,0.0
19/01/2020,0.0,0.0
20/01/2020,0.0,0.0
21/01/2020,0.0,0.0
22/01/2020,0.0,0.0
23/01/2020,0.0,0.0
24/01/2020,0.0,0.0
25/01/2020,0.0,0.0
26/01/2020,0.0,0.0
27/01/2020,0.0,0.0
28/01/2020,0.0,0.0
29/01/2020,0.0,0.0
30/01/2020,0.0,0.0
31/01/2020,0.0,0.0
01/02/2020,0.0,0.0
02/02/2020,0.0,0.0
03/02/2020,0.0,0.0
04/02/2020,0.0,0.0
05/02/2020,0.0,0.0
06/02/2020,0.0,0.0
07/02/2020,0.0,0.0
08/02/2020,0.0,0.0
09/02/2020,0.0,0.0
10/02/2020,0.0,0.0
11/02/2020,0.0,0.0
12/02/2020,0.0,0.0
13/02/2020,0.0,0.0
14/02/2020,0.0,0.0
15/02/2020,0.0,0.0
16/02/2020,0.0,0.0
17/02/2020,0.0,0.0
18/02/2020,0.0,0.0
19/02/2020,0.0,0.0
20/02/2020,0.0,0.0
21/02/2020,0.0,0.0
22/02/2020,0.0,0.0
23/02/2020,0.0,0.0
24/02/2020,0.0,0.0
25/02/2020,0.0,0.0
26/02/2020,0.0,0.0
27/02/2020,1.0,0.0
28/02/2020,3.0,0.0
29/02/2020,4.0,0.0
01/03/2020,4.0,0.0
02/03/2020,5.0,0.0
03/03/2020,15.0,0.0
04/03/2020,36.0,0.0
05/03/2020,58.0,0.0
06/03/2020,94.0,0.0
07/03/2020,115.0,0.0
08/03/2020,144.0,0.0
09/03/2020,208.0,0.0
10/03/2020,234.0,0.0
11/03/2020,266.0,0.0
12/03/2020,308.0,0.0
13/03/2020,339.0,0.0
14/03/2020,357.0,0.0
15/03/2020,374.0,0.0
16/03/2020,408.0,0.0
17/03/2020,443.0,0.0
18/03/2020,501.0,0.0
19/03/2020,567.0,0.0
20/03/2020,651.0,0.0
21/03/2020,722.0,0.0
22/03/2020,781.0,0.0
23/03/2020,880.0,0.0
24/03/2020,985.0,0.0
25/03/2020,1139.0,0.0
26/03/2020,1271.0,0.0
27/03/2020,1447.0,60.0
28/03/2020,1594.0,63.0
29/03/2020,1743.0,67.0
30/03/2020,1915.0,88.0
31/03/2020,2123.0,103.0
01/04/2020,2328.0,148.0
02/04/2020,2544.0,178.0
03/04/2020,2789.0,204.0
04/04/2020,2918.0,225.0
05/04/2020,3090.0,251.0
06/04/2020,3221.0,303.0
07/04/2020,3465.0,381.0
08/04/2020,3736.0,419.0
09/04/2020,3976.0,486.0
10/04/2020,4124.0,510.0
11/04/2020,4324.0,523.0
12/04/2020,4506.0,528.0
13/04/2020,4706.0,543.0
14/04/2020,4885.0,616.0
15/04/2020,5100.0,702.0
16/04/2020,5321.0,795.0
17/04/2020,5543.0,816.0
18/04/2020,5723.0,897.0
19/04/2020,5915.0,921.0
20/04/2020,6126.0,944.0
21/04/2020,6289.0,1022.0
22/04/2020,6578.0,1070.0
23/04/2020,6869.0,1128.0
24/04/2020,7097.0,1192.0
25/04/2020,7235.0,1208.0
26/04/2020,7345.0,1209.0
27/04/2020,7558.0,1237.0
28/04/2020,7798.0,1287.0
29/04/2020,8046.0,1319.0
30/04/2020,8261.0,1406.0
01/05/2020,8402.0,1417.0
02/05/2020,8483.0,1428.0
03/05/2020,8610.0,1430.0
04/05/2020,8759.0,1463.0
05/05/2020,8928.0,1524.0
06/05/2020,9134.0,1551.0
07/05/2020,9401.0,1604.0
08/05/2020,9623.0,1660.0
09/05/2020,9738.0,1674.0
10/05/2020,9816.0,1676.0
11/05/2020,10026.0,1688.0
12/05/2020,10260.0,1698.0
13/05/2020,10496.0,1733.0
14/05/2020,10644.0,1779.0
15/05/2020,10828.0,1822.0
16/05/2020,10892.0,1833.0
17/05/2020,10951.0,1837.0
18/05/2020,11101.0,1845.0
19/05/2020,11278.0,1864.0
20/05/2020,11452.0,1879.0
21/05/2020,11572.0,1884.0
22/05/2020,11716.0,1885.0
23/05/2020,11794.0,1936.0
24/05/2020,11853.0,1936.0
25/05/2020,12013.0,1942.0
26/05/2020,12210.0,1971.0
27/05/2020,12416.0,2008.0
28/05/2020,12694.0,2016.0
29/05/2020,12904.0,2018.0
30/05/2020,12977.0,2055.0
31/05/2020,13044.0,2055.0
01/06/2020,13204.0,2058.0
02/06/2020,13357.0,2081.0
03/06/2020,13591.0,2099.0
04/06/2020,13797.0,2103.0
05/06/2020,14024.0,2136.0
06/06/2020,14200.0,2137.0
07/06/2020,14247.0,2138.0
08/06/2020,14490.0,2157.0
09/06/2020,14730.0,2159.0
10/06/2020,14993.0,2178.0
11/06/2020,15199.0,2184.0
12/06/2020,15384.0,2185.0
13/06/2020,15547.0,2186.0
14/06/2020,15622.0,2186.0
15/06/2020,15738.0,2187.0
16/06/2020,15952.0,2211.0
17/06/2020,16312.0,2251.0
18/06/2020,16691.0,2252.0
19/06/2020,17062.0,0.0
20/06/2020,17260.0,0.0
21/06/2020,17352.0,0.0
22/06/2020,17569.0,2272.0
23/06/2020,17786.0,2276.0
24/06/2020,18070.0,2285.0
25/06/2020,18298.0,2297.0
26/06/2020,18522.0,2298.0
27/06/2020,18770.0,0.0
28/06/2020,18961.0,0.0
29/06/2020,19200.0,2298.0
30/06/2020,19370.0,2302.0
01/07/2020,19542.0,2303.0
02/07/2020,19711.0,2337.0
03/07/2020,19887.0,2337.0
04/07/2020,19983.0,0.0
05/07/2020,20091.0,0.0
06/07/2020,20144.0,2337.0
07/07/2020,20191.0,2344.0
08/07/2020,20314.0,2344.0
09/07/2020,20399.0,2353.0
10/07/2020,20472.0,2362.0
11/07/2020,20545.0,0.0
12/07/2020,20573.0,0.0
13/07/2020,20604.0,2366.0
14/07/2020,20692.0,2366.0
15/07/2020,20756.0,2372.0
16/07/2020,20842.0,2372.0
17/07/2020,20920.0,2373.0
18/07/2020,20950.0,0.0
19/07/2020,20968.0,0.0
20/07/2020,20991.0,2377.0
21/07/2020,21069.0,2377.0
22/07/2020,21138.0,2377.0
23/07/2020,21195.0,2380.0
24/07/2020,21255.0,2384.0
25/07/2020,21276.0,0.0
26/07/2020,21297.0,0.0
27/07/2020,21306.0,2384.0
28/07/2020,21384.0,2384.0
29/07/2020,21430.0,2384.0
30/07/2020,21479.0,2387.0
31/07/2020,21522.0,2387.0
01/08/2020,21586.0,0.0
02/08/2020,21592.0,0.0
03/08/2020,21614.0,2385.0
04/08/2020,21706.0,2385.0
05/08/2020,21765.0,2385.0
06/08/2020,21832.0,2387.0
07/08/2020,21880.0,2387.0
08/08/2020,21931.0,0.0
09/08/2020,21955.0,2387.0
10/08/2020,21992.0,2387.0
11/08/2020,22094.0,2387.0
12/08/2020,22175.0,2387.0
13/08/2020,22230.0,2392.0
14/08/2020,22311.0,0.0
15/08/2020,22366.0,0.0
16/08/2020,22371.0,2392.0
17/08/2020,22406.0,2392.0
18/08/2020,22477.0,2392.0
19/08/2020,22550.0,2392.0
20/08/2020,22615.0,2392.0
21/08/2020,22674.0,0.0
22/08/2020,22723.0,0.0
23/08/2020,22724.0,2392.0
24/08/2020,22754.0,2392.0
25/08/2020,22802.0,2392.0
26/08/2020,22849.0,2392.0
27/08/2020,22884.0,2393.0
28/08/2020,22923.0,0.0
29/08/2020,22949.0,0.0
30/08/2020,22963.0,2394.0
31/08/2020,22983.0,2398.0
01/09/2020,23014.0,2398.0
02/09/2020,23052.0,2398.0
03/09/2020,23110.0,2398.0
04/09/2020,23163.0,0.0
05/09/2020,23205.0,0.0
06/09/2020,23216.0,2398.0
07/09/2020,23227.0,2398.0
08/09/2020,23266.0,2398.0
09/09/2020,23310.0,2398.0
10/09/2020,23360.0,2400.0
11/09/2020,23425.0,0.0
12/09/2020,23503.0,0.0
13/09/2020,23521.0,0.0
14/09/2020,23544.0,2400.0
15/09/2020,23596.0,2400.0
16/09/2020,23690.0,2400.0
17/09/2020,23825.0,2400.0
18/09/2020,23949.0,0.0
19/09/2020,24044.0,0.0
20/09/2020,24058.0,0.0
21/09/2020,24125.0,2403.0
22/09/2020,24266.0,2403.0
23/09/2020,24447.0,2403.0
24/09/2020,24606.0,2403.0
25/09/2020,24791.0,0.0
26/09/2020,24946.0,0.0
27/09/2020,24981.0,0.0
28/09/2020,25062.0,2403.0
29/09/2020,25323.0,2405.0
30/09/2020,25544.0,2405.0
01/10/2020,25772.0,2405.0
02/10/2020,26007.0,0.0
03/10/2020,26189.0,0.0
04/10/2020,26233.0,0.0
05/10/2020,26303.0,2405.0
06/10/2020,26600.0,2408.0
07/10/2020,26870.0,2408.0
08/10/2020,27179.0,2408.0
09/10/2020,27471.0,0.0
10/10/2020,27663.0,0.0
11/10/2020,27735.0,0.0
12/10/2020,27825.0,2410.0
13/10/2020,28118.0,2410.0
14/10/2020,28437.0,2413.0
15/10/2020,28718.0,2416.0
16/10/2020,29058.0,0.0
17/10/2020,29328.0,0.0
18/10/2020,29391.0,0.0
19/10/2020,29518.0,2419.0
20/10/2020,29916.0,2421.0
21/10/2020,30457.0,2421.0
22/10/2020,30978.0,2421.0
23/10/2020,31556.0,0.0
24/10/2020,32269.0,0.0
25/10/2020,32348.0,0.0
26/10/2020,32522.0,2424.0
27/10/2020,32934.0,2428.0
28/10/2020,34136.0,2429.0
29/10/2020,35143.0,2429.0
30/10/2020,36286.0,0.0
31/10/2020,37822.0,0.0
01/11/2020,38097.0,0.0
02/11/2020,38337.0,2437.0
03/11/2020,39178.0,2447.0
04/11/2020,40706.0,2449.0
05/11/2020,42313.0,2456.0
06/11/2020,43439.0,0.0
07/11/2020,45413.0,0.0
08/11/2020,45792.0,0.0
